setting,iteration,map50_mean,map50_sem
YOLOv4 default,1192,0.26616666666666666,0.027061924872000105
YOLOv4 default,1193,0.26616666666666666,0.027061924872000105
YOLOv4 default,1194,0.26616666666666666,0.027061924872000105
YOLOv4 default,1195,0.26616666666666666,0.027061924872000105
YOLOv4 default,1196,0.26616666666666666,0.027061924872000105
YOLOv4 default,1197,0.26616666666666666,0.027061924872000105
YOLOv4 default,1198,0.26616666666666666,0.027061924872000105
YOLOv4 default,1199,0.26616666666666666,0.027061924872000105
YOLOv4 default,1200,0.31664288888888886,0.0075348419570619544
YOLOv4 default,1201,0.3166333333333333,0.01506876829000225
YOLOv4 default,1202,0.3166333333333333,0.01506876829000225
YOLOv4 default,1203,0.3166333333333333,0.01506876829000225
YOLOv4 default,1204,0.3166333333333333,0.01506876829000225
YOLOv4 default,1205,0.3166333333333333,0.01506876829000225
YOLOv4 default,1206,0.3166333333333333,0.01506876829000225
YOLOv4 default,1207,0.3166333333333333,0.01506876829000225
YOLOv4 default,1208,0.3166333333333333,0.01506876829000225
YOLOv4 default,1209,0.3166333333333333,0.01506876829000225
YOLOv4 default,1210,0.3166333333333333,0.01506876829000225
YOLOv4 default,1211,0.3166333333333333,0.01506876829000225
YOLOv4 default,1212,0.3166333333333333,0.01506876829000225
YOLOv4 default,1213,0.3166333333333333,0.01506876829000225
YOLOv4 default,1214,0.3166333333333333,0.01506876829000225
YOLOv4 default,1215,0.3166333333333333,0.01506876829000225
YOLOv4 default,1216,0.3166333333333333,0.01506876829000225
YOLOv4 default,1217,0.3166333333333333,0.01506876829000225
YOLOv4 default,1218,0.3166333333333333,0.01506876829000225
YOLOv4 default,1219,0.3166333333333333,0.01506876829000225
YOLOv4 default,1220,0.3166333333333333,0.01506876829000225
YOLOv4 default,1221,0.3166333333333333,0.01506876829000225
YOLOv4 default,1222,0.3166333333333333,0.01506876829000225
YOLOv4 default,1223,0.3166333333333333,0.01506876829000225
YOLOv4 default,1224,0.3166333333333333,0.01506876829000225
YOLOv4 default,1225,0.3166333333333333,0.01506876829000225
YOLOv4 default,1226,0.3166333333333333,0.01506876829000225
YOLOv4 default,1227,0.3166333333333333,0.01506876829000225
YOLOv4 default,1228,0.3166333333333333,0.01506876829000225
YOLOv4 default,1229,0.3166333333333333,0.01506876829000225
YOLOv4 default,1230,0.3166333333333333,0.01506876829000225
YOLOv4 default,1231,0.3166333333333333,0.01506876829000225
YOLOv4 default,1232,0.3166333333333333,0.01506876829000225
YOLOv4 default,1233,0.3166333333333333,0.01506876829000225
YOLOv4 default,1234,0.3166333333333333,0.01506876829000225
YOLOv4 default,1235,0.3166333333333333,0.01506876829000225
YOLOv4 default,1236,0.3166333333333333,0.01506876829000225
YOLOv4 default,1237,0.3166333333333333,0.01506876829000225
YOLOv4 default,1238,0.3166333333333333,0.01506876829000225
YOLOv4 default,1239,0.3166333333333333,0.01506876829000225
YOLOv4 default,1240,0.3166333333333333,0.01506876829000225
YOLOv4 default,1241,0.3166333333333333,0.01506876829000225
YOLOv4 default,1242,0.3166333333333333,0.01506876829000225
YOLOv4 default,1243,0.3166333333333333,0.01506876829000225
YOLOv4 default,1244,0.3166333333333333,0.01506876829000225
YOLOv4 default,1245,0.3166333333333333,0.01506876829000225
YOLOv4 default,1246,0.3166333333333333,0.01506876829000225
YOLOv4 default,1247,0.3166333333333333,0.01506876829000225
YOLOv4 default,1248,0.3166333333333333,0.01506876829000225
YOLOv4 default,1249,0.3166333333333333,0.01506876829000225
YOLOv4 default,1250,0.3166333333333333,0.01506876829000225
YOLOv4 default,1251,0.3166333333333333,0.01506876829000225
YOLOv4 default,1252,0.3166333333333333,0.01506876829000225
YOLOv4 default,1253,0.3166333333333333,0.01506876829000225
YOLOv4 default,1254,0.3166333333333333,0.01506876829000225
YOLOv4 default,1255,0.3166333333333333,0.01506876829000225
YOLOv4 default,1256,0.3166333333333333,0.01506876829000225
YOLOv4 default,1257,0.3166333333333333,0.01506876829000225
YOLOv4 default,1258,0.3166333333333333,0.01506876829000225
YOLOv4 default,1259,0.3166333333333333,0.01506876829000225
YOLOv4 default,1260,0.3166333333333333,0.01506876829000225
